pitcher,gameid,inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
"McGrath, Sean",20260214-JimPerry-2,6,1,1,2,5.0,4.0,Right,Slider,BallCalled,81.44,2670.31,5.152,5.847,3.442,-3.2844,-4.7746,-3.7525,-17.6794,-1.317,-2.537,-11.9725,-7.8920,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,0,1,2,2.0,4.0,Left,Fastball,BallCalled,91.65,1856.47,6.021,5.990,3.049,-0.0384,-4.0210,14.6617,9.3271,4.377,0.096,-3.6430,-2.3495,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,2,2,5.0,5.0,Right,Fastball,StrikeCalled,91.83,2015.07,5.534,6.130,3.042,-3.5441,-4.6180,15.9547,16.9367,1.276,0.127,-6.9933,-1.6102,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,0,2,2,2.0,5.0,Left,Fastball,InPlay,91.64,1870.96,5.709,5.933,3.091,-2.0215,-4.7926,15.3692,8.9045,2.477,-0.643,-5.5717,-3.2086,55.85,Popup
"McGrath, Sean",20260214-JimPerry-2,6,1,0,0,3.0,1.0,Right,Slider,BallCalled,83.36,2468.75,4.864,5.992,3.203,-1.1342,-2.5976,-0.5985,-9.1982,1.361,-0.024,-8.8083,-4.2171,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,2,0,0,6.0,1.0,Left,Fastball,StrikeCalled,92.20,1968.24,5.694,5.937,3.150,-3.3757,-4.2281,16.9793,11.9401,1.409,0.197,-6.4791,-2.1009,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,1,0,3.0,2.0,Right,Slider,BallCalled,83.11,2651.59,4.942,6.002,3.185,-2.1893,-4.0597,1.8407,-8.4325,0.551,-1.361,-9.4560,-5.5422,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,2,0,3.0,3.0,Right,Fastball,BallCalled,90.67,2106.38,5.907,5.998,2.943,-3.3199,-5.0364,18.5567,13.2801,1.558,-0.638,-6.4050,-2.6657,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,2,0,1,6.0,2.0,Left,Fastball,StrikeCalled,92.10,1958.99,5.771,6.002,3.095,-2.3439,-4.7833,18.8669,11.8812,2.595,-0.377,-5.1409,-2.6671,null,Undefined
"McGrath, Sean",20260214-JimPerry-2,6,1,3,0,3.0,4.0,Right,Fastball,FoulBallNotFieldable,90.60,2098.03,5.810,5.980,3.008,-1.8524,-3.7490,16.8274,11.8914,2.765,0.507,-5.2529,-1.6241,105.39,Undefined
