inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
5,0,1,0,1,2,Right,FourSeamFastBall,StrikeCalled,85.57,2046.43,6.16,6.101,-2.42,-2.191,4.243,22.2602,-11.0941,2.703,0.583,-5.389,2.2502,NA,Undefined
4,0,0,0,4,1,Left,Curveball,BallCalled,77,2023.6,5.656,5.712,-2.881,-0.6107,3.0108,-11.7568,15.2007,0.083,1.196,-11.6308,5.7303,NA,Undefined
5,0,1,1,1,3,Right,FourSeamFastBall,StrikeSwinging,87.59,2088.23,6.228,5.962,-2.436,-2.4316,2.4655,21.5091,-10.988,2.44,-1.076,-5.4274,0.483,NA,Undefined
6,2,2,1,3,4,Right,FourSeamFastBall,FoulBallNotFieldable,88.67,2050.01,6.265,5.871,-2.334,-2.7596,2.8671,20.1245,-12.6435,2.037,-0.742,-5.7471,0.5851,74.29,Undefined
4,0,1,0,4,2,Left,FourSeamFastBall,BallCalled,88.54,2203.21,6.2,6.201,-2,-4.4167,4.1877,23.7562,-9.1504,1.073,1.11,-6.8614,2.543,NA,Undefined
5,0,1,2,1,4,Right,FourSeamFastBall,InPlay,88.34,2086.39,6.176,6.159,-2.169,-2.6543,2.8093,20.4723,-12.7619,2.421,-0.636,-5.6316,0.5097,92.3,LineDrive
4,0,2,0,4,3,Left,FourSeamFastBall,StrikeCalled,89.75,2128.74,6.258,6.104,-2.135,-3.524,4.2394,23.1071,-15.476,1.836,0.491,-5.9305,1.4535,NA,Undefined
6,2,2,2,3,5,Right,Slider,InPlay,75.74,1674.78,5.737,5.869,-2.419,1.4279,1.1801,-5.5035,9.66,2.475,-0.515,-9.0626,2.9109,92.85,GroundBall
4,0,2,1,4,4,Left,FourSeamFastBall,StrikeCalled,89.08,2219.21,6.076,6.038,-2.189,-3.5482,3.7482,19.6225,-11.5846,1.413,0.319,-6.6194,1.6677,NA,Undefined
4,0,2,2,4,5,Left,ChangeUp,BallCalled,80.82,1679.74,6.017,5.97,-2.459,0.5676,4.1418,5.5601,-0.2818,3.367,1.36,-6.4052,4.0913,NA,Undefined
