inning,outs,balls,strikes,paofinning,pitchofpa,batterside,taggedpitchtype,pitchcall,relspeed,spinrate,extension,relheight,relside,vertrelangle,horzrelangle,inducedvertbreak,horzbreak,platelocheight,platelocside,vertapprangle,horzapprangle,exitspeed,taggedhittype
2,0,2,0,1,3,Right,FourSeamFastBall,BallCalled,90.7,1933.84,6.645,6.129,1.318,-0.5901,-2.8034,15.0877,8.9693,4.095,-0.503,-4.0286,-1.1732,NA,Undefined
1,0,0,0,7,1,Right,FourSeamFastBall,InPlay,91.33,1732.21,6.651,6.088,1.53,-2.3681,-2.6711,12.2276,7.621,2.204,-0.282,-6.2792,-1.2846,95.73,FlyBall
2,0,3,0,1,4,Right,Fastball,BallCalled,90.56,1956.5,6.723,6.094,1.249,-2.872,-4.067,14.2357,9.3195,1.89,-1.698,-6.4563,-2.3735,NA,Undefined
1,0,0,0,1,1,Left,ChangeUp,BallCalled,89.05,1843.91,6.633,6.006,1.425,-2.6864,-3.6177,13.6821,11.0448,1.803,-0.971,-6.6495,-1.6117,NA,Undefined
1,0,1,0,1,2,Left,FourSeamFastBall,FoulBallNotFieldable,91.51,1951.12,6.554,6.05,1.452,-2.6319,-2.5445,13.5327,12.8145,2.024,0.185,-6.3123,-0.2167,84.62,Undefined
1,0,1,1,1,3,Left,Cutter,InPlay,86.74,2113.83,6.258,6.052,1.521,-0.1047,-2.6998,5.5145,2.3198,3.345,-0.777,-5.956,-2.281,86.22,Popup
2,0,0,0,2,1,Left,FourSeamFastBall,StrikeCalled,90.33,1831.03,6.373,6.105,1.388,-2.1711,-1.6395,11.5797,13.2225,2.258,0.981,-6.3549,0.7566,NA,Undefined
2,0,0,1,2,2,Left,FourSeamFastBall,BallCalled,91.13,1772.93,6.596,5.964,1.51,-0.8607,-1.1933,9.3226,14.725,3.209,1.643,-5.3314,1.4862,NA,Undefined
1,1,0,0,2,1,Right,Sweeper,BallCalled,80.14,2584.83,5.772,6.01,1.638,-1.2044,-1.241,0.8985,-13.9323,1.3,-0.678,-9.0879,-3.7401,NA,Undefined
1,1,1,0,2,2,Right,Sweeper,BallCalled,78.88,2662.07,5.628,5.953,1.591,-0.2415,0.5523,-3.5296,-15.9174,1.619,0.78,-9.2528,-2.2985,NA,Undefined
2,0,1,1,2,3,Left,FourSeamFastBall,FoulBallNotFieldable,90.33,1856.03,6.632,6.069,1.273,-2.0986,-3.4955,12.7815,7.7266,2.423,-1.287,-6.0184,-2.0924,NA,Undefined
1,1,2,0,2,3,Right,FourSeamFastBall,StrikeCalled,93.1,1887.34,6.667,6.075,1.467,-2.6276,-2.7225,10.3415,14.6442,1.929,0.195,-6.5597,-0.0562,NA,Undefined
2,0,1,2,2,4,Left,Sweeper,FoulBallNotFieldable,78.41,2486.35,6.106,5.898,1.586,0.3815,0.3344,-2.2306,-14.8475,2.317,0.658,-8.3169,-2.3465,79.49,Undefined
1,1,2,1,2,4,Right,Cutter,InPlay,84.92,2225.6,6.018,6.105,1.493,0.0633,-1.1216,2.4873,-3.8376,3.152,0.134,-6.63,-1.8125,94,GroundBall
